objectid,inv_id,invlocid,inc_site,inv_typ,inv_stat,datclosed,contamin,loc_descr,ca_typ,remmeth,excav_dpth,excav_vol,merla,contingncy,oldlocid,contact_nm,contact_ph,co_code,coordtyp,X,Y
1,   PLK101000840,181101000270,SCHMIDT,E,C,2009-07-01T00:00:00Z,U,Emmet Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.20858391399997,44.745429688
2,        CF-8498,14889,MEADOWLAND FARMERS COOP,E,C,2004-05-07T00:00:00Z,AA,Palmyra Twp.,U,U,NA,0,N,N,0000014889,MDA Data Practices Records Mng,(651) 201-6698,129,P2,-94.76981734999998,44.675112324000054
3,        CF-8949,15302,AGRILIANCE,E,C,2004-12-21T00:00:00Z,PF,Martinsburg Twp. EDGE OF FIELD,EX,LA,0.5,5,N,N,0000015302,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.701052285,44.71065679900005
4,        CF-9428,15801,SKYWAY AGRI SERVICE,E,C,2005-03-17T00:00:00Z,F,Hawk Creek Twp.,P,N,0,0,N,N,0000015801,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42119367499998,44.799641689000055
5,      PLK219128,1811138076,SOUTH CENTRAL GRAIN AND ENERGY,E,C,2009-03-12T00:00:00Z,U,Wellington Twp.,U,U,NA,NA,N,N,1811138076,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.67917560199999,44.58571083000004
6,      PLK219052,1811138046,SKYWAY AGRI,E,C,2008-10-27T00:00:00Z,U,Hawk Creek Twp.,U,U,NA,NA,N,N,1811138046,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42130059799996,44.799618291
7,      RAM191051,181101000177,JFS INC,E,C,2009-04-20T00:00:00Z,U,Wang Twp.,U,U,NA,NA,N,N,181101000177,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.480657049,44.847915715000056
8,   PLK101000551,181101000235,"NORTHSTAR, INC",E,C,2009-04-02T00:00:00Z,U,Buffalo Lake,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.59856671699998,44.732265262000055
9,   PLK101000948,181101000297,CWJ FARMS,E,C,2009-12-31T00:00:00Z,U,Crooks Twp.,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.17852201799997,44.832787612000004
10,   PLK101019081,181101000691,HARVEST LAND COOP,E,C,2010-06-03T00:00:00Z,U,Morton,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.97612931699996,44.55739792100002
11,   PLK101038583,181101001435,BIRD ISLAND SOIL SERVICE CENTER,E,C,2011-01-10T00:00:00Z,U,Norfolk Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.894713524,44.67353103900001
12,   PLK101045641,181101001701,SKYWAY AGRI SERVICE,E,C,2011-09-06T00:00:00Z,U,Hawk Creek Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42132015199996,44.79969287600005
13,       CF-10927,17198,BLACK BROTHERS,E,C,2007-04-20T00:00:00Z,P,Wellington Twp.,NC,N,0,0,N,N,0000017198,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.68385615399995,44.55770580300003
14,   KDR107000204,181101007310,"OLSON, TOM",E,C,2013-10-09T00:00:00Z,P,Camp Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.78598042199997,44.490969839
15,   PLK101054102,181101007740,UNITED FARMERS COOP,E,C,2014-03-20T00:00:00Z,AA,Hector Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.67100368399997,44.77342281700004
16,   PLK101000611,181101007751,SOUTH CENTRAL COOP,E,C,2008-12-31T00:00:00Z,AA,Hector, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.708565427,44.74576377200003
17,   PLK101056604,181101007931,"SACRED HEART, CITY OF",E,C,2014-07-11T00:00:00Z,P,Sacred Heart, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.34590093099996,44.78393443800002
18,   PLK101059723,181101008722,COOP FARMERS ELEVATOR,E,C,2015-04-06T00:00:00Z,AA,Olivia, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.02622213799998,44.78049986800005
19,   KDR107000390,181101009059,COOP COUNTRY FARMERS ELEVATOR,E,C,2016-01-12T00:00:00Z,P,Troy Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.11698135099999,44.73062834900003
20,   PLK101063569,181101009095,"ZAFKE, WAYLAND",E,C,2016-01-13T00:00:00Z,P,Flora Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.137547735,44.69946143000004
21,   PLK101065929,181101009699,BIRD ISLAND SOIL SERVICE,E,C,2015-12-15T00:00:00Z,F,Hector, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.714937754,44.74594453000003
22,   PLK101072372,181101010806,COOP FARMERS ELEVATOR,E,C,2016-11-29T00:00:00Z,F,Palmyra Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.85376805699997,44.67327512000003
23,   PLK101077828,181101011745,SULLIVAN FARMS,E,C,2017-09-21T00:00:00Z,P,Birch Cooley Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.91486357899998,44.57766122200002
24,   PLK101083819,181101013346,"STEFFEL, GREG",E,C,2018-10-08T00:00:00Z,F,Osceola Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.86463399299998,44.82609842200003
25,        CF-9409,15769,BIRD ISLAND SOIL SERVICE,E,C,2005-09-29T00:00:00Z,AA,Winfield Twp. DITCH,U,U,NA,NA,N,N,0000015769,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.11433530199997,44.83257035300005
26,        CF-9415,15774,SKYWAY AGRI SERVICE INC,E,C,2005-03-17T00:00:00Z,F,Hawk Creek Twp.,P,N,0,0,N,N,0000015774,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42120609699998,44.79967308000005
27,       CF-11282,17510,SKYWAY AG SERVICE,E,C,2007-01-05T00:00:00Z,U,Hawk Creek Twp. Facility,EX,LA,NA,NA,N,N,0000017510,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.42137342399997,44.799608026000044
28,       CF-11571,17783,MEADOWLAND COOP,E,C,2009-02-21T00:00:00Z,AA,Birch Cooley Twp.,U,U,NA,NA,N,N,0000017783,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.91713258799996,44.61241984200001
29,   PLK101092729,181101014266,SOUTHERN MN SUGAR BEET COOP,E,C,2019-09-23T00:00:00Z,P,Emmet Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.15756894999998,44.799313891000054
30,   PLK101091480,181101014098,"UFC- NESS,GARY",E,C,2019-11-14T00:00:00Z,AA,Palmyra Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.771305773,44.690525269000034
31,   GCH101094070,181101014934,JEFF STAMER FARMS,E,C,2020-06-02T00:00:00Z,P,Hector, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.71516587899998,44.73919329
32,   PLK101095991,181101015029,SULLIVAN FAMILY FARMS,E,C,2020-07-17T00:00:00Z,P,Birch Cooley Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.893357455,44.581458784000006
33,   PTH101096529,181101015126,BIRD ISLAND SOIL SERVICE,E,C,2021-01-27T00:00:00Z,AA,Bird Island, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.89372316699996,44.755075433
34,   GCH101097198,181101015194,FARMWARD COOP,E,C,2020-11-18T00:00:00Z,AA,Henryville Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-95.03020052099998,44.683401323000055
35,   PTH101097324,181101015239,BIRD ISLAND SERVICE CENTER,E,C,2021-01-28T00:00:00Z,AA,Hector Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.71689484399997,44.721570206000024
36,   DJH101112166,474101016773,CENTRAL REGION COOPERATIVE DBA,E,C,2023-01-10T00:00:00Z,AA,Boon Lake Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.54715970399997,44.85288302600003
37,   JDS101112563,474101016795,UNITED FARMERS COOPERATIVE DBA,E,C,2023-01-20T00:00:00Z,P,Hector, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,129,PHOTO,-94.70389513800001,44.74519238800002
38,   PTH101111535,474101016996,MEI INCORPORATED,E,A,NA,F,Winfield Twp., , ,NA,NA,N,N,NA,Jared Schmaedeke,(651) 201-6387,129,PHOTO,-95.01638694100001,44.839480615000014
39,   JGL101115203,474101018030,UNKNOWN,E,C,NA,F,Winfield Twp., , ,NA,NA,N,N,NA,Jared Schmaedeke,(651) 201-6387,129,PHOTO,-95.097574834,44.832852211000045
40,   JDS101119706,474101018376,FARMWARD COOPERATIVE,E,C,NA,AA,Renville, , ,NA,NA,N,N,NA,Jared Schmaedeke,(651) 201-6387,129,PHOTO,-95.207213577,44.792694665000056
